NAME	TYPE	RESOURCE GROUP	LOCATION	SUBSCRIPTION	RESOURCE LINK
openshiftdemomvzfd8	Container registry	openshift-rag-demo-rg	Canada Central	MPN - Vibi Abraham	openshift-rag-demo-rg/providers/Microsoft.ContainerRegistry/registries/openshiftdemomvzfd8
privatelink.postgres.database.azure.com	Private DNS zone	rg-visualstudio-oct-lab-vm	Global	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.Network/privateDnsZones/privatelink.postgres.database.azure.com
RecommendedAlertRules-AG-1	Action group	rg-visualstudio-sep-kube-lab	Global	MPN - Vibi Abraham	rg-visualstudio-sep-kube-lab/providers/microsoft.insights/actiongroups/RecommendedAlertRules-AG-1
SecurityInsights(ws-vstudio-sentinel)	Solution	rg-visualstudio-sep-lab-data	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-data/providers/Microsoft.OperationsManagement/solutions/SecurityInsights(ws-vstudio-sentinel)
Shutdown-tags	Runbook	rg-visualstudio-sep-lab-automation	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-automation/providers/Microsoft.Automation/automationAccounts/Automation-vStudio-Test/runbooks/Shutdown-tags
site-reco-mn5-asr-automationaccount	Automation Account	site-recovery-vault-rg	Canada Central	MPN - Vibi Abraham	site-recovery-vault-rg/providers/Microsoft.Automation/automationAccounts/site-reco-mn5-asr-automationaccount
Site-recovery-vault-canadacentral	Recovery Services vault	Site-recovery-vault-RG	Canada Central	MPN - Vibi Abraham	Site-recovery-vault-RG/providers/Microsoft.RecoveryServices/vaults/Site-recovery-vault-canadacentral
sql-vstudio-01-nsg	Network security group	rg-visualstudio-oct-lab-network	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-network/providers/Microsoft.Network/networkSecurityGroups/sql-vstudio-01-nsg
sql-vstudio-02-nsg	Network security group	rg-visualstudio-oct-lab-network	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-network/providers/Microsoft.Network/networkSecurityGroups/sql-vstudio-02-nsg
tfstate29012026	Storage account	rg-terraform-state	Canada Central	MPN - Vibi Abraham	rg-terraform-state/providers/Microsoft.Storage/storageAccounts/tfstate29012026
UXRecordingRulesRuleGroup - vstudio-k8s-cluster1	Prometheus rule group	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/UXRecordingRulesRuleGroup - vstudio-k8s-cluster1
UXRecordingRulesRuleGroup-Win - vstudio-k8s-cluster1	Prometheus rule group	rg-vstudio-k8s-cluster	Canada Central	MPN - Vibi Abraham	rg-vstudio-k8s-cluster/providers/Microsoft.AlertsManagement/prometheusRuleGroups/UXRecordingRulesRuleGroup-Win - vstudio-k8s-cluster1
vault-lnkp4rrn	Recovery Services vault	rg-visualstudio-oct-lab-vm	Canada Central	MPN - Vibi Abraham	rg-visualstudio-oct-lab-vm/providers/Microsoft.RecoveryServices/vaults/vault-lnkp4rrn
vm-vstudio-az-test1-nsg	Network security group	rg-visualstudio-sep-lab-data	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-data/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-az-test1-nsg
vm-vstudio-az-zone-test1-nsg	Network security group	rg-visualstudio-sep-lab-data	Canada Central	MPN - Vibi Abraham	rg-visualstudio-sep-lab-data/providers/Microsoft.Network/networkSecurityGroups/vm-vstudio-az-zone-test1-nsg
